"time","agua.mean_Calidad","agua.mean_Caudal","agua.mean_aguaTinaco","agua.mean_aguacisterna"
"2022-07-03T21:00:00.000-05:00",,,,
"2022-07-03T23:00:00.000-05:00",,,,
"2022-07-04T01:00:00.000-05:00",,,,
"2022-07-04T03:00:00.000-05:00",,,,
"2022-07-04T05:00:00.000-05:00",,,,
"2022-07-04T07:00:00.000-05:00",,,,
"2022-07-04T09:00:00.000-05:00",,,,
"2022-07-04T11:00:00.000-05:00",,,,
"2022-07-04T13:00:00.000-05:00",,,,
"2022-07-04T15:00:00.000-05:00",,,,
"2022-07-04T17:00:00.000-05:00",,,,
"2022-07-04T19:00:00.000-05:00",,,,
"2022-07-04T21:00:00.000-05:00",,,,
"2022-07-04T23:00:00.000-05:00",,,,
"2022-07-05T01:00:00.000-05:00",,,,
"2022-07-05T03:00:00.000-05:00",,,,
"2022-07-05T05:00:00.000-05:00",,,,
"2022-07-05T07:00:00.000-05:00",,,,
"2022-07-05T09:00:00.000-05:00",,,,
"2022-07-05T11:00:00.000-05:00",,,,
"2022-07-05T13:00:00.000-05:00",,,,
"2022-07-05T15:00:00.000-05:00",,,,
"2022-07-05T17:00:00.000-05:00",,,,
"2022-07-05T19:00:00.000-05:00",,,,
"2022-07-05T21:00:00.000-05:00",,,,
"2022-07-05T23:00:00.000-05:00",,,,
"2022-07-06T01:00:00.000-05:00",,,,
"2022-07-06T03:00:00.000-05:00",,,,
"2022-07-06T05:00:00.000-05:00",,,,
"2022-07-06T07:00:00.000-05:00",,,,
"2022-07-06T09:00:00.000-05:00",,,,
"2022-07-06T11:00:00.000-05:00",,,,
"2022-07-06T13:00:00.000-05:00",,,,
"2022-07-06T15:00:00.000-05:00",,,,
"2022-07-06T17:00:00.000-05:00",,,,
"2022-07-06T19:00:00.000-05:00",,,,
"2022-07-06T21:00:00.000-05:00",,,,
"2022-07-06T23:00:00.000-05:00",,,,
"2022-07-07T01:00:00.000-05:00",,,,
"2022-07-07T03:00:00.000-05:00",,,,
"2022-07-07T05:00:00.000-05:00",,,,
"2022-07-07T07:00:00.000-05:00",,,,
"2022-07-07T09:00:00.000-05:00",,,,
"2022-07-07T11:00:00.000-05:00",,,,
"2022-07-07T13:00:00.000-05:00",,,,
"2022-07-07T15:00:00.000-05:00",,,,
"2022-07-07T17:00:00.000-05:00",,,,
"2022-07-07T19:00:00.000-05:00",,,,
"2022-07-07T21:00:00.000-05:00",,,,
"2022-07-07T23:00:00.000-05:00",,,,
"2022-07-08T01:00:00.000-05:00",,,,
"2022-07-08T03:00:00.000-05:00",,,,
"2022-07-08T05:00:00.000-05:00",,,,
"2022-07-08T07:00:00.000-05:00",,,,
"2022-07-08T09:00:00.000-05:00",,,,
"2022-07-08T11:00:00.000-05:00",,,,
"2022-07-08T13:00:00.000-05:00",,,,
"2022-07-08T15:00:00.000-05:00",,,,
"2022-07-08T17:00:00.000-05:00",,,,
"2022-07-08T19:00:00.000-05:00",,,,
"2022-07-08T21:00:00.000-05:00",,,,
"2022-07-08T23:00:00.000-05:00",,,,
"2022-07-09T01:00:00.000-05:00",,,,
"2022-07-09T03:00:00.000-05:00",,,,
